CustomerID,recency,frequency,promo,total_basket,avg_basket,std_basket,total_nb_d_items,avg_nb_d_items,std_nb_d_items,total_quantity,avg_quantity,std_quantity
12347.0,2,7,0.06593406593406594,4310.0,615.7142857142857,341.0707894683616,103,26.0,11.430952132988164,2458,351.14285714285717,173.27764673247054
12348.0,75,4,0.14814814814814814,1437.24,359.31,203.87568859479057,21,6.75,6.2915286960589585,2332,583.0,474.84313199202956
12349.0,18,1,0.0,1457.55,1457.55,,72,72.0,,630,630.0,
12350.0,310,1,0.0625,294.40000000000003,294.40000000000003,,16,16.0,,196,196.0,
12352.0,36,6,0.0,1265.4099999999999,210.90166666666664,81.52339698924884,57,11.666666666666666,5.046450898073483,463,77.16666666666667,37.139825883634224
12353.0,204,1,0.0,89.0,89.0,,4,4.0,,20,20.0,
12354.0,232,1,0.0,1079.4,1079.4,,58,58.0,,530,530.0,
12355.0,214,1,0.0,459.4,459.4,,13,13.0,,240,240.0,
12356.0,22,3,0.2413793103448276,2487.4300000000003,829.1433333333334,991.4625854934384,52,19.333333333333332,16.56301099840646,1573,524.3333333333334,611.2907109823716
12357.0,33,1,0.25190839694656486,6207.669999999996,6207.669999999996,,131,131.0,,2708,2708.0,
12358.0,1,2,0.11764705882352941,928.06,464.03,83.67901648561612,12,8.5,3.5355339059327378,242,121.0,32.526911934581186
12359.0,57,4,0.0860655737704918,6140.480000000001,1535.1200000000003,920.2404449200585,213,61.0,37.532208390483326,1599,399.75,206.42734799439728
12360.0,52,3,0.023809523809523808,2302.06,767.3533333333334,270.7657477106978,104,42.0,12.12435565298214,1156,385.3333333333333,130.84851291983924
12361.0,287,1,0.0,174.89999999999998,174.89999999999998,,9,9.0,,90,90.0,
12362.0,3,10,0.0,4665.580000000001,466.5580000000001,159.99832219953643,197,25.3,7.888810641239485,2180,218.0,58.1033561853358
12363.0,109,2,0.0,552.0,276.0,32.66833329081847,23,11.5,6.363961030678928,408,204.0,110.30865786510141
12364.0,7,4,0.012345679012345678,1208.1,302.025,211.40655138066717,69,20.25,13.744695946679455,1499,374.75,179.91734213243592
12365.0,291,1,0.0,320.69,320.69,,21,21.0,,173,173.0,
12367.0,4,1,0.0,150.9,150.9,,10,10.0,,172,172.0,
12370.0,51,4,0.030303030303030304,3421.9400000000005,855.4850000000001,589.6878819906906,142,41.25,31.9100297712177,2349,587.25,453.260318875
12371.0,59,1,0.0,1527.9600000000003,1527.9600000000003,,62,62.0,,582,582.0,
12372.0,71,3,0.0,1196.04,398.68,70.34687484174405,33,16.333333333333332,3.785938897200182,788,262.6666666666667,90.16281569102273
12373.0,311,1,0.38461538461538464,324.6,324.6,,13,13.0,,196,196.0,
12374.0,25,1,0.0,622.93,622.93,,32,32.0,,339,339.0,
12375.0,10,2,0.0,375.4200000000001,187.71000000000004,3.662813126546321,13,7.5,3.5355339059327378,175,87.5,2.1213203435596424
12377.0,315,2,0.02631578947368421,1548.1199999999997,774.0599999999998,321.6770168973839,71,38.0,7.0710678118654755,942,471.0,188.09040379562165
12378.0,129,1,0.0091324200913242,4008.6200000000013,4008.6200000000013,,219,219.0,,2529,2529.0,
12379.0,81,2,0.02631578947368421,775.29,387.645,35.70182138210871,38,19.0,0.0,401,200.5,9.192388155425117
12380.0,21,4,0.06,2423.56,605.89,210.47946724878727,76,25.0,8.04155872120988,1109,277.25,35.92932878118747
12381.0,4,3,0.012345679012345678,1433.4599999999998,477.81999999999994,456.2981364196001,68,27.0,28.930952282978865,772,257.3333333333333,243.6438657822793
12383.0,184,5,0.031914893617021274,1617.31,323.462,236.76986309494708,83,18.8,13.6088206689632,1515,303.0,338.56830920805334
12384.0,28,2,0.0,406.15999999999997,203.07999999999998,13.435028842544433,25,12.5,0.7071067811865476,117,58.5,4.949747468305833
12386.0,337,2,0.2,401.90000000000003,200.95000000000002,81.95367593952088,10,5.0,4.242640687119285,354,177.0,52.32590180780452
12388.0,15,6,0.06,2780.6600000000003,463.4433333333334,327.1524836321233,57,16.666666666666668,10.98483803552272,1462,243.66666666666666,177.50793409497692
